name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level,file_source,directory_source,program_type,stem_focus,location,duration,application_deadline,eligibility,gear_support_building,contributor_community,stem_accessibility,inclusive_environment,family_involvement
AI4ALL at Stanford University,"Intensive 2-week residential AI summer program at Stanford. Learn machine learning fundamentals, neural networks, computer vision, and NLP. Hands-on projects with real-world datasets. Mentorship from Stanford faculty and graduate students. Explore AI ethics and societal impact. Build AI applications for social good. Campus housing and meals included. Focus on increasing diversity in AI.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Computer Science, Machine Learning",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,,Subsidized,True,True,True,High,True,True,Basic,California,Optional,True,Professional,ai4all_programs.csv,Data,,,,,,,,,,,
AI4ALL at UC Berkeley,"Two-week immersive AI program at UC Berkeley. Introduction to machine learning, deep learning, and AI applications. Work alongside Berkeley researchers and PhD students. Project-based learning with real datasets. Explore AI for social impact. Learn responsible AI development. College preparation and career guidance. On-campus housing at UC Berkeley. Generous financial aid including travel stipends.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Machine Learning, Computer Science",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,,Subsidized,True,True,True,High,True,True,Basic,California,Optional,True,Professional,ai4all_programs.csv,Data,,,,,,,,,,,
AI4ALL at Boston University,"Residential AI summer program at Boston University. Fundamentals of artificial intelligence and machine learning. Python programming and data analysis. Work on team projects solving real-world challenges. Mentorship from BU faculty and industry professionals. Explore Boston tech scene. College readiness workshops. Financial aid covers tuition, housing, meals, and materials.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Computer Science, Data Analysis",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,,Subsidized,True,True,True,High,True,True,Basic,Massachusetts,Optional,True,Professional,ai4all_programs.csv,Data,,,,,,,,,,,
AI4ALL at University of Michigan,"Two-week residential AI program at University of Michigan. Introduction to machine learning, neural networks, and AI ethics. Hands-on projects with Michigan faculty. Explore AI applications in healthcare, environment, and education. Learn Python and ML frameworks. Campus life experience at top university. Support from diverse AI community. Full scholarships available covering all program costs.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Machine Learning, Ethics",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,,Subsidized,True,True,True,High,True,True,Basic,Michigan,Optional,True,Professional,ai4all_programs.csv,Data,,,,,,,,,,,
AI4ALL at Columbia University,"Two-week residential program at Columbia in New York City. Introduction to AI, machine learning, and data science. Work with Columbia faculty and researchers. Explore AI applications in urban challenges, healthcare, and media. Tours of NYC tech companies. Networking with Columbia students and alumni. Housing in NYC. Generous financial aid including travel to New York.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Data Science, Urban Technology",11-Sep,500,Residential,2 weeks,Basic,High,Annual-Spring,Low,True,True,,Subsidized,True,True,True,High,True,True,Basic,New York,Optional,True,Professional,ai4all_programs.csv,Data,,,,,,,,,,,
AI4ALL Online Programs,"Virtual AI summer programs for students unable to travel to campus programs. Live online instruction from university faculty. Interactive coding workshops and group projects. Learn Python, machine learning, and AI ethics. Virtual mentorship from AI professionals. Flexible schedule for different time zones. Completely free with no hidden costs. Accessible to students worldwide. Great alternative to residential programs.",https://ai-4-all.org/programs/,AI4ALL,Summer Program,"Artificial Intelligence, Machine Learning, Computer Science",11-Sep,Free,Online,2-3 weeks,Basic,High,Annual-Spring,,False,True,,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Professional,ai4all_programs.csv,Data,,,,,,,,,,,
Bold.org - First-Generation STEM Scholars,"$1,000-$7,500 scholarship for first-generation college students pursuing any STEM degree. Open to students whose parents did not complete four-year college degree. Essay about challenges of being first-generation student and commitment to STEM education. Minimum 2.5 GPA required. Priority for students from underrepresented minorities and low-income families. Renewable with reapplication.",https://bold.org/scholarships/stem/,Bold.org,Scholarship,"All STEM Fields, Science, Technology, Engineering, Mathematics",9-12,Free,Virtual,2-3 hours,Low,Low,Annual,,Scholarship-Award,Preferred,,Free,True,True,True,High,True,False,Required,National,Low,False,,boldorg_stem.csv,Scrapers/scrapers/data,,,,,,,,,,,
Explore Machine Learning,"Introduction to machine learning and artificial intelligence for middle and high school students. Hands-on activities exploring ML concepts, ethics, and applications. Uses Teachable Machine and other accessible tools. No coding experience required. Includes teacher guides and student activities.",https://edu.google.com/computer-science/,Google CS Education,Computer Science Program,"Computer Science, Artificial Intelligence, Machine Learning",6-12,Free,Hybrid,4-6 hours,,High,Rolling,,False,False,,Free,True,True,True,High,True,False,High-speed-required,International,Optional,True,Adult,google_cs_edu_programs.csv,Data,,,,,,,,,,,
MITES Application Workshops,"Free workshops helping students prepare strong MITES applications. Cover essay writing, recommendation letters, showcasing STEM interests, and understanding eligibility. Offered virtually and in-person in select cities. Particularly supports first-generation college students and students from underrepresented backgrounds.",https://mites.mit.edu/,MIT MITES,Diversity Program,"Engineering, Science, Technology, Mathematics",10-11,Free,Hybrid,2-3 hours,,High,Check MITES website,,True,Low-income-focus,,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional,mit_mites_programs.csv,Data,,,,,,,,,,,
Scholly - First-Generation STEM Scholars,"$1,000-$5,000 scholarship for first-generation college students pursuing STEM degrees. Open to students whose parents did not complete four-year college degree. Essay about challenges of being first-generation and commitment to STEM. Minimum 2.5 GPA. Priority for students from underrepresented minorities and low-income families.",https://myscholly.com/stem-scholarships/,Scholly,Scholarship,"All STEM Fields, Science, Technology, Engineering, Mathematics",9-12,Free,Virtual,2-3 hours,Low,Low,April,,Scholarship-Award,Preferred,,Free,True,True,True,High,True,False,Required,National,Low,False,,scholly_stem.csv,Scrapers/scrapers/data,,,,,,,,,,,
UCONN Mentor Connection High School Research Program,Academic year research mentorship program connecting high school students with university faculty. Students design and conduct independent research projects.,https://pathwaystoscience.org/programs.aspx,Pathways to Science,Research,"General STEM, Biology, Chemistry, Engineering",10-12,Free,In-person,Academic year,Medium,High,October 1,Low,True,Not required,Travel,Free,True,True,True,High,Variable,True,Basic,CT,,True,Professional,pathways_to_science.csv,Scrapers/data,,,,,,,,,,,
Clark Scholars Program at Texas Tech,Seven-week intensive research program where high school students work one-on-one with faculty mentors on original research projects across STEM disciplines.,https://pathwaystoscience.org/programs.aspx,Pathways to Science,Research,"General STEM, Biology, Chemistry, Engineering, Physics",11-12,Free,In-person,7 weeks (summer),High,High,January 15,Low,True,Not required,Travel,Paid-Program,False,True,True,High,Variable,True,Basic,TX,,True,Professional,pathways_to_science.csv,Scrapers/data,,,,,,,,,,,
Fermilab TARGET - Teachers and Researchers Generating Excitement for Technology,"Two-week summer program introducing high school students to particle physics through hands-on activities, lectures, and lab tours at Fermilab.",https://pathwaystoscience.org/programs.aspx,Pathways to Science,Summer Program,"Physics, Engineering, Computer Science",10-12,Free,In-person,2 weeks (summer),Medium,High,March 15,Low,True,Not required,Travel,Free,False,True,True,High,Variable,True,Basic,IL,,True,Professional,pathways_to_science.csv,Scrapers/data,,,,,,,,,,,
Pioneer Academics - Artificial Intelligence and Machine Learning,"Research track exploring artificial intelligence, machine learning algorithms, and neural networks. Work with professor specializing in AI to develop original research project. Topics may include computer vision, natural language processing, reinforcement learning, or AI ethics. Implement machine learning models and analyze results. Learn Python programming and AI frameworks. Research applications of AI to real-world problems. Produce scholarly paper suitable for publication or competition submission.",https://pioneeracademics.com/subjects/,Pioneer Academics,Research,"Artificial Intelligence, Machine Learning, Computer Science, Neural Networks, Data Science",9-12,Paid,Online,5 weeks,High,High,Rolling admissions,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,pioneer_academics.csv,Scrapers/scrapers/data,,,,,,,,,,,
Pioneer Academics - Biotechnology and Genetic Engineering,"Research in cutting-edge biotechnology including CRISPR, gene therapy, and synthetic biology. Mentored by professor with expertise in molecular biology and genetics. Design theoretical or computational research project exploring genetic engineering applications. Study bioethics and societal implications of biotechnology. Research topics may include disease treatment, agricultural applications, or biomanufacturing. Analyze genomic data and biological systems. Write comprehensive research paper on original findings.",https://pioneeracademics.com/subjects/,Pioneer Academics,Research,"Biotechnology, Genetics, CRISPR, Molecular Biology, Bioengineering",9-12,Paid,Online,5 weeks,High,High,Rolling admissions,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,pioneer_academics.csv,Scrapers/scrapers/data,,,,,,,,,,,
Pioneer Academics - Neuroscience and Cognitive Science,"Research exploring brain function, cognition, and behavior. Work with neuroscience professor on topics like neural circuits, memory, consciousness, or neurological disorders. Study intersection of biology, psychology, and computational neuroscience. Research methods may include literature review, data analysis, or computational modeling. Investigate questions about learning, decision-making, or brain plasticity. Develop deep understanding of neuroscience research methods and current frontiers.",https://pioneeracademics.com/subjects/,Pioneer Academics,Research,"Neuroscience, Cognitive Science, Psychology, Biology, Brain Research",9-12,Paid,Online,5 weeks,High,High,Rolling admissions,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,pioneer_academics.csv,Scrapers/scrapers/data,,,,,,,,,,,
Pioneer Academics - Astrophysics and Cosmology,"Research in astrophysics, cosmology, and space science. Work with astronomy professor on topics like exoplanets, black holes, dark matter, or the early universe. Analyze astronomical data, study theoretical physics, or explore observational techniques. Research questions about stellar evolution, galaxy formation, or fundamental physics. Learn computational methods for astrophysics. Produce research paper contributing to understanding of the cosmos.",https://pioneeracademics.com/subjects/,Pioneer Academics,Research,"Astrophysics, Astronomy, Cosmology, Physics, Space Science",9-12,Paid,Online,5 weeks,High,High,Rolling admissions,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,pioneer_academics.csv,Scrapers/scrapers/data,,,,,,,,,,,
Pioneer Academics - Computer Science and Algorithms,"Research in theoretical or applied computer science. Work with CS professor on algorithms, complexity theory, cryptography, or software engineering. Design and analyze algorithms, explore computational theory, or develop applications. Research may involve coding implementations, mathematical proofs, or system design. Topics can include graph theory, optimization, parallel computing, or computational biology. Build strong foundation in computer science research methodology.",https://pioneeracademics.com/subjects/,Pioneer Academics,Research,"Computer Science, Algorithms, Programming, Software Engineering, Theoretical CS",9-12,Paid,Online,5 weeks,High,High,Rolling admissions,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,pioneer_academics.csv,Scrapers/scrapers/data,,,,,,,,,,,
Pioneer Academics - Mathematics and Number Theory,"Research in pure or applied mathematics. Work with mathematics professor on topics like number theory, combinatorics, topology, or mathematical modeling. Explore theoretical questions or applications of mathematics to other fields. Research may involve proving theorems, analyzing mathematical structures, or developing models. Study connections between different areas of mathematics. Develop mathematical reasoning and proof-writing skills. Produce rigorous mathematical research paper.",https://pioneeracademics.com/subjects/,Pioneer Academics,Research,"Mathematics, Number Theory, Pure Math, Applied Math, Mathematical Modeling",9-12,Paid,Online,5 weeks,High,High,Rolling admissions,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,pioneer_academics.csv,Scrapers/scrapers/data,,,,,,,,,,,
Pioneer Academics - Biochemistry and Molecular Biology,"Research in biochemistry exploring protein structure, enzyme function, or metabolic pathways. Work with biochemistry professor on topics like drug discovery, structural biology, or cellular processes. Study molecular mechanisms of life at atomic and molecular scales. Research may involve computational analysis, literature review, or theoretical modeling. Topics can include protein folding, signal transduction, or gene regulation. Develop understanding of modern biochemistry research.",https://pioneeracademics.com/subjects/,Pioneer Academics,Research,"Biochemistry, Molecular Biology, Protein Science, Cell Biology, Enzymology",9-12,Paid,Online,5 weeks,High,High,Rolling admissions,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,pioneer_academics.csv,Scrapers/scrapers/data,,,,,,,,,,,
Pioneer Academics - Physics and Quantum Mechanics,"Research in theoretical or experimental physics. Work with physics professor on topics like quantum mechanics, particle physics, condensed matter, or thermodynamics. Explore fundamental questions about nature of reality and physical laws. Research may involve mathematical analysis, computational simulations, or thought experiments. Topics can include quantum computing, relativity, superconductivity, or statistical mechanics. Develop deep understanding of physics principles and research methods.",https://pioneeracademics.com/subjects/,Pioneer Academics,Research,"Physics, Quantum Mechanics, Theoretical Physics, Particle Physics, Condensed Matter",9-12,Paid,Online,5 weeks,High,High,Rolling admissions,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,pioneer_academics.csv,Scrapers/scrapers/data,,,,,,,,,,,
Pioneer Academics - Chemistry and Materials Science,"Research in organic, inorganic, physical chemistry, or materials science. Work with chemistry professor on topics like chemical synthesis, reaction mechanisms, or novel materials. Study catalysis, nanomaterials, polymers, or drug design. Research may involve computational chemistry, literature analysis, or theoretical modeling. Topics can include sustainable chemistry, battery technology, or medicinal chemistry. Develop understanding of chemical principles and research methodology.",https://pioneeracademics.com/subjects/,Pioneer Academics,Research,"Chemistry, Materials Science, Chemical Engineering, Nanotechnology, Organic Chemistry",9-12,Paid,Online,5 weeks,High,High,Rolling admissions,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,pioneer_academics.csv,Scrapers/scrapers/data,,,,,,,,,,,
Pioneer Academics - Engineering and Robotics,"Research in mechanical, electrical, or computer engineering. Work with engineering professor on topics like robotics, control systems, or engineering design. Study automation, sensor systems, or mechatronics. Research may involve design projects, simulations, or optimization problems. Topics can include autonomous vehicles, renewable energy systems, or biomedical devices. Develop engineering problem-solving and design thinking skills.",https://pioneeracademics.com/subjects/,Pioneer Academics,Research,"Engineering, Robotics, Mechanical Engineering, Electrical Engineering, Design",9-12,Paid,Online,5 weeks,High,High,Rolling admissions,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,pioneer_academics.csv,Scrapers/scrapers/data,,,,,,,,,,,
Pioneer Academics - Data Science and Statistics,"Research in data science, statistical analysis, or machine learning applications. Work with data science professor on topics like predictive modeling, big data analytics, or statistical inference. Study data visualization, experimental design, or causal inference. Research may involve analyzing real-world datasets or developing new statistical methods. Topics can include sports analytics, healthcare data, or social network analysis. Learn R, Python, and statistical software.",https://pioneeracademics.com/subjects/,Pioneer Academics,Research,"Data Science, Statistics, Analytics, Machine Learning, Quantitative Analysis",9-12,Paid,Online,5 weeks,High,High,Rolling admissions,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,pioneer_academics.csv,Scrapers/scrapers/data,,,,,,,,,,,
Pioneer Academics - Biomedical Science and Medicine,"Research in biomedical sciences exploring disease mechanisms, treatments, or medical technology. Work with medical school professor on topics like cancer biology, immunology, or drug development. Study pathophysiology, clinical research, or public health. Research may involve literature analysis, data mining, or theoretical modeling. Topics can include personalized medicine, vaccine development, or regenerative medicine. Explore career paths in medicine and biomedical research.",https://pioneeracademics.com/subjects/,Pioneer Academics,Research,"Biomedical Science, Medicine, Immunology, Pathology, Clinical Research",9-12,Paid,Online,5 weeks,High,High,Rolling admissions,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,pioneer_academics.csv,Scrapers/scrapers/data,,,,,,,,,,,
Pioneer Academics - Economics and Game Theory,"Research in economics, game theory, or behavioral economics. Work with economics professor on topics like market dynamics, strategic decision-making, or economic modeling. Study microeconomics, macroeconomics, or econometrics. Research may involve mathematical modeling, data analysis, or theoretical exploration. Topics can include auction theory, mechanism design, financial markets, or development economics. Develop quantitative economic analysis skills.",https://pioneeracademics.com/subjects/,Pioneer Academics,Research,"Economics, Game Theory, Mathematics, Behavioral Economics, Quantitative Analysis",9-12,Paid,Online,5 weeks,High,High,Rolling admissions,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,pioneer_academics.csv,Scrapers/scrapers/data,,,,,,,,,,,
Pioneer Academics - Public Health and Epidemiology,"Research in public health addressing disease prevention, health policy, or epidemiology. Work with public health professor on topics like infectious diseases, health disparities, or healthcare systems. Study statistical analysis of health data, disease modeling, or intervention evaluation. Research may explore social determinants of health, vaccine efficacy, or health communication. Topics can include pandemic response, health equity, or global health challenges.",https://pioneeracademics.com/subjects/,Pioneer Academics,Research,"Public Health, Epidemiology, Biostatistics, Health Policy, Disease Prevention",9-12,Paid,Online,5 weeks,High,High,Rolling admissions,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,pioneer_academics.csv,Scrapers/scrapers/data,,,,,,,,,,,
Pioneer Academics - Applied Mathematics and Optimization,"Research in applied mathematics focusing on optimization, operations research, or mathematical modeling. Work with professor on topics like linear programming, network flows, or algorithm optimization. Study applications of mathematics to real-world problems in logistics, finance, or engineering. Research may involve developing models, proving optimality, or computational implementations. Topics can include combinatorial optimization, stochastic processes, or numerical methods.",https://pioneeracademics.com/subjects/,Pioneer Academics,Research,"Applied Mathematics, Optimization, Operations Research, Mathematical Modeling, Algorithms",9-12,Paid,Online,5 weeks,High,High,Rolling admissions,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,pioneer_academics.csv,Scrapers/scrapers/data,,,,,,,,,,,
Stanford University Mathematics Camp (SUMaC),"Intensive four-week residential program for grades 10-11 in advanced mathematics. Focus on abstract mathematical thinking, proofs, and problem-solving. Two tracks: Program I (algebra and number theory) and Program II (topology and group theory). Taught by Stanford faculty and graduate students. Highly selective.",https://spcs.stanford.edu/programs,Stanford Pre-Collegiate Programs,Summer Program,Mathematics,10-11,9500,Residential,4 weeks,High,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford University-Level Online Math & Physics,"Advanced online courses offering Stanford University credit in mathematics and physics. College-level curriculum taught by Stanford instructors. Self-paced with regular assignments and exams. Covers topics like multivariable calculus, linear algebra, and advanced physics. Requires strong mathematical background.",https://spcs.stanford.edu/programs,Stanford Pre-Collegiate Programs,University Pre-College,"Mathematics, Physics",9-12,3500,Online,10 weeks,High,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,True,False,High-speed-required,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford Pre-Collegiate Computer Science,"Three-week intensive computer science program covering programming, algorithms, data structures, and software development. Hands-on coding projects using Python, Java, or other languages. Learn from Stanford CS faculty and graduate students. Build portfolio projects. Residential experience includes tech talks and company visits.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Computer Science, Programming, Software Engineering",9-12,8500,Residential,3 weeks,Medium,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford Pre-Collegiate Engineering,"Engineering design and problem-solving program introducing students to various engineering disciplines. Includes mechanical, electrical, biomedical, and computer engineering projects. Team-based design challenges, lab work, and prototype building. Meet Stanford engineering faculty and tour engineering labs.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Engineering, Design, Technology",9-12,8500,Residential,3 weeks,Medium,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford Pre-Collegiate Artificial Intelligence,"Advanced AI and machine learning program covering neural networks, computer vision, natural language processing, and AI ethics. Programming projects using Python and ML frameworks. Learn from Stanford AI researchers. Explore AI applications and future implications. Requires programming background.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Artificial Intelligence, Computer Science, Machine Learning",10-12,9000,Residential,3 weeks,High,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford Pre-Collegiate Biomedical Sciences,"Exploration of biomedical research, biotechnology, and medical sciences. Laboratory techniques, research methods, and ethical issues in biomedicine. Visit Stanford medical facilities and research labs. Learn from medical faculty and researchers. Covers genetics, cell biology, and biomedical engineering.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Biomedical Science, Biology, Medicine",10-12,8500,Residential,3 weeks,Medium,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford Pre-Collegiate Physics,"Advanced physics topics beyond high school curriculum including modern physics, quantum mechanics, and relativity. Laboratory experiments, problem-solving, and mathematical modeling. Taught by Stanford physics faculty. Prepares students for university-level physics. Requires strong math background.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Physics, Mathematics",10-12,8000,Residential,3 weeks,High,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford Pre-Collegiate Data Science,"Introduction to data science covering statistics, data analysis, visualization, and machine learning applications. Work with real datasets, learn Python and R, and develop data-driven projects. Includes statistical thinking, data ethics, and communication of findings. No prior programming required.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Data Science, Statistics, Computer Science",9-12,8500,Residential,3 weeks,Medium,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford Pre-Collegiate Game Design,"Game design and development program combining programming, art, storytelling, and game mechanics. Create original video games using industry tools. Learn game engines, 3D modeling, level design, and game theory. Team projects and portfolio development. Suitable for aspiring game developers.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Computer Science, Game Development, Design",9-12,8500,Residential,3 weeks,Medium,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford Pre-Collegiate Robotics,"Hands-on robotics program covering robot design, programming, sensors, and autonomous systems. Build and program robots for competitions and challenges. Learn mechanical design, electronics, and control systems. Team-based projects with industry-standard robotics platforms. Tour Stanford robotics labs.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Robotics, Engineering, Computer Science",9-12,8500,Residential,3 weeks,Medium,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford Pre-Collegiate Environmental Science,"Study environmental challenges, sustainability, and climate science. Field work, laboratory research, and data analysis. Explore Stanford sustainability initiatives and environmental research. Topics include ecology, conservation, renewable energy, and environmental policy. Scientific research skills development.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Environmental Science, Biology, Chemistry",9-12,8000,Residential,3 weeks,Medium,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford Pre-Collegiate Chemistry,"Advanced chemistry covering topics beyond AP level including organic chemistry, chemical synthesis, and spectroscopy. Laboratory-intensive program with research-style experiments. Learn modern chemical techniques and instrumentation. Taught by Stanford chemistry faculty. Prepares for college chemistry.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Chemistry, Science",10-12,8500,Residential,3 weeks,High,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Stanford Pre-Collegiate Business & Entrepreneurship,"Introduction to business principles, entrepreneurship, and innovation. Develop business plans, learn marketing and finance basics, and pitch startup ideas. Guest speakers from Silicon Valley. Team projects simulating real business challenges. Includes visits to Stanford business school and local companies.",https://summerinstitutes.spcs.stanford.edu/,Stanford Pre-Collegiate Programs,Summer Program,"Business, Entrepreneurship, Technology",10-12,8000,Residential,3 weeks,Basic,High,Check Stanford website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,Basic,National,Required,True,Professional,stanford_precollege_programs.csv,Data,,,,,,,,,,,
Summer Science Program (SSP) - Biochemistry at Indiana University,"39-day residential research program for rising 10th and 11th graders at Indiana University Bloomington. Students explore frontiers of biochemistry through hands-on research and coursework. Study protein biochemistry, enzyme mechanisms, and metabolic pathways. Laboratory techniques including chromatography, spectrometry, and bioinformatics analysis. Team-based research projects addressing real scientific questions. Individual components allowing personal research interests. Scientific writing and presentation skills development. Access to IU research facilities and faculty mentorship. Immersive residential experience with diverse cohort of science-minded students.",https://summerscience.org/programs/,Summer Science Program,Summer Program,"Biochemistry, Molecular Biology, Bioinformatics, Laboratory Techniques, Enzymology",10-11,Paid,In-person,39 days,High,High,February,High,Available,Optional,Travel,$1000+,True,True,True,High,True,True,Basic,National,,True,Professional,ssp_summer_program.csv,Scrapers/scrapers/data,,,,,,,,,,,
