name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level,file_source,directory_source,program_type,stem_focus,location,duration,application_deadline,eligibility,gear_support_building,contributor_community,stem_accessibility,inclusive_environment,family_involvement
BYJU'S Future School - Coding for Beginners (Ages 6-8),"Introduction to coding through visual programming and storytelling. One-on-one live classes teaching Scratch basics, game creation, and logical thinking. Build first coding projects with personalized teacher guidance.",https://www.byjusfutureschool.com/,BYJU'S Future School,Online Class,"Computer Science, Coding, Programming, Scratch",1-3,Paid,Online,1-2 classes per week,,High,Rolling,High,Limited,Optional,Per-Class,$500-$1000,True,True,True,High,True,False,Required,International,Medium,False,Teacher,byjus_future_school.csv,Scrapers/scrapers/data,,,,,,,,,,,
BYJU'S Future School - Free Trial Classes,Free trial classes to experience one-on-one learning approach. Sample coding or math class with certified teacher. No commitment required to try platform.,https://www.byjusfutureschool.com/,BYJU'S Future School,Online Class,"Computer Science, Mathematics, Trial Program",K-12,Free,Online,1 class,,High,Rolling,,Not applicable,Not required,,Free,True,True,True,High,True,False,Required,International,Medium,False,Teacher,byjus_future_school.csv,Scrapers/scrapers/data,,,,,,,,,,,
CS Scholars,"Comprehensive computer science program for high school students. Learn programming, algorithms, data structures, and software development from CMU faculty. Work on real-world projects and collaborate with peers. Includes exposure to CMU School of Computer Science research. Residential summer experience.",https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,Summer Program,"Computer Science, Programming, Software Engineering",10-12,9500,Residential,6 weeks,High,High,Check CMU website,High,True,Middle+,Travel,$2000+,True,True,True,Medium,False,True,High-speed-required,National,Required,True,Professional,cmu_precollege_programs.csv,Data,,,,,,,,,,,
National High School Game Academy,"Game design and development program combining art, programming, and storytelling. Students create original video games working in teams. Learn game engines, 3D modeling, animation, and game design principles. Taught by CMU Entertainment Technology Center faculty. Portfolio-building opportunity.",https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,Summer Program,"Game Development, Computer Science, Design, Programming",10-12,9000,Residential,6 weeks,Medium,High,Check CMU website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,High-speed-required,National,Required,True,Professional,cmu_precollege_programs.csv,Data,,,,,,,,,,,
Summer Academy for Math and Science,"Rigorous STEM program covering advanced mathematics and science topics. Students engage in problem-solving, research projects, and mathematical exploration. Learn from CMU faculty and graduate students. Includes laboratory work and computational methods. Prepares students for STEM majors.",https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,Summer Program,"Mathematics, Science, Physics, Chemistry",10-12,8500,Residential,6 weeks,High,High,Check CMU website,High,True,Middle+,Travel,$2000+,True,True,True,Medium,False,True,High-speed-required,National,Required,True,Professional,cmu_precollege_programs.csv,Data,,,,,,,,,,,
Architecture Program,"Intensive architecture and design program introducing students to architectural thinking and practice. Learn design principles, technical drawing, 3D modeling, and sustainable design. Work on design projects and visit Pittsburgh architecture sites. Studio-based learning with CMU School of Architecture faculty.",https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,Summer Program,"Architecture, Design, Engineering",10-12,8500,Residential,6 weeks,Medium,High,Check CMU website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,High-speed-required,National,Required,True,Professional,cmu_precollege_programs.csv,Data,,,,,,,,,,,
Design Program,"Explore communication design, product design, and environmental design. Learn design thinking methodology, prototyping, user research, and visual communication. Work on real design challenges and build portfolio. Taught by CMU School of Design faculty. Includes workshops and studio projects.",https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,Summer Program,"Design, UX Design, Product Design, Visual Communication",10-12,8500,Residential,6 weeks,Medium,High,Check CMU website,High,True,Middle+,Travel,$2000+,False,True,False,Medium,False,True,High-speed-required,National,Required,True,Professional,cmu_precollege_programs.csv,Data,,,,,,,,,,,
Summer Session,Take actual Carnegie Mellon undergraduate courses for college credit. Choose from variety of STEM and humanities courses. Experience university-level academics and campus life. Earn transferable college credits. Live on campus with other pre-college students.,https://www.cmu.edu/pre-college/,Carnegie Mellon Pre-College,University Pre-College,Various STEM and Liberal Arts,10-12,10000,Residential,6 weeks,High,High,Check CMU website,High,True,Middle+,Travel,$2000+,True,True,True,Medium,False,True,High-speed-required,National,Required,True,Professional,cmu_precollege_programs.csv,Data,,,,,,,,,,,
Kode With Klossy Virtual Web Development Camp,"Free 2-week virtual coding camp for girls ages 13-18 teaching HTML, CSS, and JavaScript. Build websites and web applications through project-based learning with experienced instructors. Daily live instruction, hands-on coding projects, and peer collaboration. No prior coding experience required.",https://www.kodewithklossy.com/programs,Kode With Klossy,Coding Camp,"Computer Science, Web Development, HTML, CSS, JavaScript",7-12,Free,Virtual,2 weeks (approximately 3-4 hours/day),,High,Rolling admissions (typically March-April),,Fully funded scholarship,,,Free,Girls in technology,True,True,High,True,False,High-speed-required,National,Parental consent required,True,Professional,kode_with_klossy_programs.csv,Data,,,,,,,,,,,
TEALS Introduction to Computer Science,"Year-long introductory computer science course bringing industry volunteers into high school classrooms. Learn programming fundamentals, problem-solving, and computational thinking. Microsoft-funded program pairing teachers with tech professionals. No prior CS experience required for students or teachers. Full curriculum and resources provided.",https://www.microsoft.com/en-us/teals,Microsoft TEALS,School Program,Computer Science,9-12,Free,School-based,Academic year,,High,Check TEALS website,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional,microsoft_teals_programs.csv,Data,,,,,,,,,,,
TEALS AP Computer Science Principles,"AP Computer Science Principles course exploring computing foundations, internet, data, algorithms, and societal impacts. Industry mentors team-teach with classroom teachers. Prepares students for AP CS Principles exam. Broader introduction to CS than AP CS A. Focuses on computational thinking and creativity.",https://www.microsoft.com/en-us/teals,Microsoft TEALS,School Program,Computer Science,9-12,Free,School-based,Academic year,,High,Check TEALS website,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional,microsoft_teals_programs.csv,Data,,,,,,,,,,,
TEALS Cybersecurity,"Introduction to cybersecurity fundamentals including network security, cryptography, and ethical hacking. Industry professionals teach alongside classroom teachers. Hands-on labs and real-world scenarios. Learn about careers in cybersecurity. Addresses growing demand for security professionals.",https://www.microsoft.com/en-us/teals,Microsoft TEALS,School Program,"Computer Science, Cybersecurity",10-12,Free,School-based,Semester or year,Basic,High,Check TEALS website,,False,False,,Free,True,True,True,High,True,False,Basic,National,Optional,True,Professional,microsoft_teals_programs.csv,Data,,,,,,,,,,,
NCSSM Online - Advanced Sciences,"Advanced science courses beyond AP level including astrophysics, organic chemistry, molecular biology, and environmental science; virtual labs and simulations; research opportunities; college-level rigor; NCSSM expert faculty.",https://www.ncssm.edu/online/courses,NCSSM Online,Online Learning,,10-12,"Free (NC residents), Paid (out-of-state)",Online,Semester (4-6 hours/week),High,High,,Medium,True,,,,True,True,True,,True,No,High,,,,Teacher (science instructors),ncssm_online_progress.csv,Scrapers/data,Learning Platform,"Physics, Chemistry, Biology, Environmental Science",Online,Semester or full year,"june 13, 2025",High school students with prerequisite science coursework; NC priority,False,True,True,True,Low
NSBE Jr. - Mentorship Circles,"Structured mentorship pairing NSBE Jr. members with college students and professional engineers. Monthly virtual or in-person meetings. Academic guidance, career advice, and personal development. Help with college applications and scholarship essays. Exposure to different engineering careers. Long-term relationships building over years. Focus on Black engineering role models. Support navigating challenges as Black student in STEM.",https://www.nsbe.org/nsbejr,NSBE Jr.,Mentorship,"Engineering, Career Development, Academic Support",6-12,Free,Hybrid,Year-round,Beginner,High,Rolling,,Not applicable,Not required,,Free,True,True,True,High,True,False,Medium,National,Low,True,Professional,nsbe_jr.csv,Scrapers/scrapers/data,,,,,,,,,,,
NSBE Jr. - Scholarship and Financial Aid Workshops,"Workshops helping students and families navigate college funding. Information on NSBE scholarships, STEM scholarships, and general financial aid. Help completing FAFSA and scholarship applications. Essay writing workshops for scholarship applications. Connecting students with scholarship opportunities. Understanding costs of different colleges. Financial literacy for college students. Critical support for families new to college process.",https://www.nsbe.org/nsbejr,NSBE Jr.,Program,"College Preparation, Financial Literacy, Scholarship Applications",9-12,Free,Hybrid,Quarterly,Beginner,High,Rolling,,Information-provided,Not required,,Free,True,True,True,High,True,False,Medium,National,High,False,Professional,nsbe_jr.csv,Scrapers/scrapers/data,,,,,,,,,,,
Polygence Research Academy - Virtual Mentorship,One-on-one virtual research mentorship connecting high school students with PhD mentors. Students design and complete independent research projects over 10-16 weeks. Flexible scheduling and broad research topics available.,https://www.polygence.org/,Polygence,Research Opportunity,"All Sciences, Engineering, Mathematics, Computer Science, Social Sciences",9-12,"$2,995-$4,995",Virtual,"10-16 weeks, flexible schedule",Intermediate-Advanced,High,Rolling admissions,High,Scholarships available,Yes,Low,$1000+,True,True,True,High,True,No,High,International,No,Medium,High,science_research_mentorship.csv,Scrapers/scrapers/data,,,,,,,,,,,
Polygence - Biotechnology and Life Sciences,"Research mentorship in biology, biotechnology, and life sciences. Explore topics like genetics, molecular biology, neuroscience, or ecology. Projects may involve computational biology, bioinformatics analysis, or theoretical research. Work with PhD mentors from top biology programs. Topics can include CRISPR applications, disease mechanisms, synthetic biology, or evolutionary studies. Learn biological research methods and scientific thinking. Produce research suitable for science competitions and journals.",https://www.polygence.org/programs,Polygence,Mentorship,"Biology, Biotechnology, Genetics, Neuroscience, Life Sciences, Bioinformatics",8-12,Paid,Online,10-14 weeks,Medium,High,Rolling,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,polygence_research.csv,Scrapers/scrapers/data,,,,,,,,,,,
Polygence - Engineering and Design,"One-on-one mentorship in engineering disciplines and design thinking. Explore mechanical, electrical, chemical, or biomedical engineering. Projects may involve CAD modeling, circuit design, materials analysis, or engineering optimization. Work with engineering professors and industry professionals. Learn design process from problem identification to solution testing. Develop engineering portfolio showcasing technical skills and problem-solving abilities.",https://www.polygence.org/programs,Polygence,Mentorship,"Engineering, Mechanical Engineering, Electrical Engineering, Design, Problem Solving",8-12,Paid,Online,10-14 weeks,Medium,High,Rolling,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,polygence_research.csv,Scrapers/scrapers/data,,,,,,,,,,,
Polygence - Chemistry and Materials Science,"One-on-one research in chemistry and materials science. Explore organic chemistry, physical chemistry, or nanotechnology. Projects may involve computational chemistry, materials analysis, or chemical research. Work with chemistry PhD mentors. Topics can include drug design, catalysis, polymer science, or green chemistry. Learn chemical thinking and research methodology. Produce research suitable for chemistry competitions.",https://www.polygence.org/programs,Polygence,Mentorship,"Chemistry, Materials Science, Nanotechnology, Chemical Engineering, Organic Chemistry",8-12,Paid,Online,10-14 weeks,Medium,High,Rolling,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,polygence_research.csv,Scrapers/scrapers/data,,,,,,,,,,,
Polygence - Psychology and Cognitive Science,"Research mentorship in psychology, neuroscience, and cognitive science. Explore behavioral psychology, cognitive processes, or mental health. Projects may involve literature reviews, survey research, or experimental design. Work with psychology PhD mentors. Topics can include memory, decision-making, social psychology, or developmental psychology. Learn psychological research methods and statistical analysis.",https://www.polygence.org/programs,Polygence,Mentorship,"Psychology, Cognitive Science, Neuroscience, Behavioral Science, Research Methods",8-12,Paid,Online,10-14 weeks,Medium,High,Rolling,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,polygence_research.csv,Scrapers/scrapers/data,,,,,,,,,,,
MIT RISE - Research in Science and Engineering,"7-week summer research program at MIT for underrepresented high school students. Conduct research in engineering, computer science, or life sciences. Work with MIT faculty on authentic research projects. Program completely free including housing, meals, and stipend. Academic enrichment workshops and college preparation sessions. Focus on increasing diversity in STEM research. Strong preference for students from underrepresented minorities, women, first-generation college students, and low-income backgrounds. Minimum 3.0 GPA required.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Engineering, Computer Science, Life Sciences, Research Methods",11-12,Free,In-person,7 weeks,Medium,High,January,,Fully-funded,Preferred,,Paid-Program,True,True,True,High,True,True,Medium,National,Low,True,Professional,rise_research.csv,Scrapers/scrapers/data,,,,,,,,,,,
UC Berkeley RISE Research Internship,"6-week summer research program at UC Berkeley for California high school students. Conduct research in life sciences, physical sciences, or engineering with Berkeley faculty. Residential option available or commuter. Research project culminating in poster presentation. College credit offered. Financial aid available for students with demonstrated need. Focus on preparing students for college-level research. Laboratory safety training and research ethics workshops included.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Life Sciences, Physical Sciences, Engineering, Environmental Science",10-12,Paid,In-person,6 weeks,Medium,High,March,Medium,Available,Optional,Variable,$1000+,True,True,True,High,True,True,Medium,State,Low,True,Professional,rise_research.csv,Scrapers/scrapers/data,,,,,,,,,,,
Carnegie Mellon RISE Computer Science Research,"7-week summer research program focusing on computer science and robotics at Carnegie Mellon University. High school students work on AI, machine learning, human-computer interaction, or robotics projects. Mentored by CMU faculty and PhD students. Residential program with housing and meals. Weekly tech talks and professional development. Produce working prototype or research paper. Program fee with need-based scholarships available. Preference for women and underrepresented minorities in CS.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Computer Science, Artificial Intelligence, Machine Learning, Robotics, Human-Computer Interaction",11-12,Paid,In-person,7 weeks,High,High,February,High,Available,Optional,Housing-included,$1000+,True,True,True,High,True,True,High,National,Low,True,Professional,rise_research.csv,Scrapers/scrapers/data,,,,,,,,,,,
Columbia RISE Biomedical Research,"8-week summer biomedical research program at Columbia University Medical Center for NYC-area high school students. Work in medical research laboratories studying disease mechanisms, drug development, or public health. Mentored by Columbia faculty and medical students. Commuter program with stipend. Weekly seminars on careers in medicine and research. Hospital tours and clinical exposure. Focus on students from underserved communities. Minimum 3.0 GPA in science courses.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Biomedical Research, Medicine, Drug Development, Public Health, Clinical Research",10-12,Free,In-person,8 weeks,Medium,High,March,,Stipend-provided,Preferred,Commuter,Paid-Program,True,True,True,High,False,True,Medium,Regional,Medium,True,Professional,rise_research.csv,Scrapers/scrapers/data,,,,,,,,,,,
University of Washington RISE Engineering Research,"6-week engineering research program for Pacific Northwest high school students. Conduct research in mechanical, electrical, civil, or biomedical engineering at UW. Faculty-mentored projects addressing real-world engineering challenges. Mix of residential and commuter options. Weekly design workshops and professional development. Build engineering portfolio. Financial aid available. Emphasis on recruiting women and minorities into engineering fields.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Mechanical Engineering, Electrical Engineering, Civil Engineering, Biomedical Engineering",10-12,Paid,In-person,6 weeks,Medium,High,March,Medium,Available,Optional,Variable,$500-$1000,True,True,True,High,True,True,Medium,Regional,Low,True,Professional,rise_research.csv,Scrapers/scrapers/data,,,,,,,,,,,
University of Michigan RISE Research Fellows,"7-week summer research fellowship at University of Michigan for Midwest high school students. Research in natural sciences, engineering, or mathematics. Close mentorship from U-M faculty and graduate students. Residential program with housing and meals. Weekly research seminars and career panels. Develop research proposal, conduct experiments, and present findings. Need-based financial aid available. Focus on students from rural and underserved urban areas.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Natural Sciences, Engineering, Mathematics, Research Methods",11-12,Paid,In-person,7 weeks,High,High,February,Medium,Available,Optional,Housing-included,$1000+,True,True,True,High,True,True,Medium,Regional,Low,True,Professional,rise_research.csv,Scrapers/scrapers/data,,,,,,,,,,,
Georgia Tech RISE Engineering and Computing,"6-week summer research program at Georgia Institute of Technology for high school students interested in engineering and computer science. Work on research projects in robotics, cybersecurity, materials science, or sustainable engineering. Faculty mentorship and hands-on laboratory work. Residential program in Atlanta. College credit option. Financial aid available for Georgia residents and students with demonstrated need. Team-based and individual research projects.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Engineering, Computer Science, Robotics, Cybersecurity, Materials Science",10-12,Paid,In-person,6 weeks,Medium,High,March,Medium,Available,Optional,Housing-included,$1000+,True,True,True,Medium,True,True,High,Regional,Low,True,Professional,rise_research.csv,Scrapers/scrapers/data,,,,,,,,,,,
Northwestern RISE Materials Science Research,"7-week summer research program at Northwestern University focusing on materials science and nanotechnology. High school students work in cutting-edge research facilities on nanomaterials, polymers, or energy materials. Mentored by materials science faculty. Residential program in Evanston, IL. Clean room and advanced microscopy training. Research presentation at end of program. Competitive admissions. Financial aid available based on need.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Materials Science, Nanotechnology, Polymers, Energy Materials, Chemistry",11-12,Paid,In-person,7 weeks,High,High,February,High,Available,Optional,Housing-included,$1000+,True,True,True,Medium,True,True,Medium,National,Low,True,Professional,rise_research.csv,Scrapers/scrapers/data,,,,,,,,,,,
Duke RISE Environmental Science Research,"6-week environmental science research program at Duke University for rising high school seniors. Conduct field and laboratory research on climate change, ecology, or environmental policy. Work with Duke faculty in Nicholas School of Environment. Mix of field work and data analysis. Residential program with housing and meals. Sustainability-focused curriculum. Research project on local or global environmental issue. Need-based scholarships available.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Environmental Science, Climate Change, Ecology, Environmental Policy, Sustainability",11-12,Paid,In-person,6 weeks,Medium,High,March,High,Available,Optional,Housing-included,$1000+,True,True,True,Medium,True,True,Medium,National,Low,True,Professional,rise_research.csv,Scrapers/scrapers/data,,,,,,,,,,,
University of Illinois RISE Physics and Astronomy,"8-week summer research program in physics and astronomy at University of Illinois Urbana-Champaign. High school students conduct research using observatory facilities or physics laboratories. Projects in astrophysics, particle physics, or condensed matter physics. Mentored by physics faculty and graduate students. Residential program. Weekly colloquia and lab tours. Produce research paper or poster. Financial aid available for Illinois residents.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Physics, Astronomy, Astrophysics, Particle Physics, Observatory Research",11-12,Paid,In-person,8 weeks,High,High,February,Medium,Available,Optional,Housing-included,$1000+,True,True,True,Medium,True,True,Medium,Regional,Low,True,Professional,rise_research.csv,Scrapers/scrapers/data,,,,,,,,,,,
Johns Hopkins RISE Neuroscience Research,"7-week neuroscience research program at Johns Hopkins University for high school students passionate about brain science. Work in neuroscience laboratories studying cognition, behavior, or neurological diseases. Mentored by Johns Hopkins faculty and medical students. Residential program in Baltimore. Hospital and lab tours. Weekly seminars on neuroscience careers and medical school. Research presentation at program end. Need-based financial aid available.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Neuroscience, Brain Science, Cognitive Science, Neurobiology, Medical Research",11-12,Paid,In-person,7 weeks,High,High,February,High,Available,Optional,Housing-included,$1000+,True,True,True,High,True,True,Medium,National,Low,True,Professional,rise_research.csv,Scrapers/scrapers/data,,,,,,,,,,,
University of Pennsylvania RISE Bioengineering,"6-week bioengineering research program at UPenn for high school students interested in medical devices, tissue engineering, or computational biology. Work in Penn bioengineering laboratories on cutting-edge projects. Faculty mentorship and graduate student collaboration. Residential program in Philadelphia. Engineering design workshops and medical device demonstrations. Research poster at program end. Competitive admissions. Financial aid available.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Bioengineering, Medical Devices, Tissue Engineering, Computational Biology",11-12,Paid,In-person,6 weeks,High,High,March,High,Available,Optional,Housing-included,$1000+,True,True,True,High,True,True,Medium,National,Low,True,Professional,rise_research.csv,Scrapers/scrapers/data,,,,,,,,,,,
Rice University RISE Research Experience,"7-week summer research program at Rice University for Texas and Louisiana high school students. Research in physical sciences, life sciences, or engineering. Small cohort with individualized mentorship from Rice faculty. Residential program in Houston. Weekly workshops on scientific writing, presentations, and college applications. Research symposium showcasing student work. Need-based financial aid reducing program costs. Focus on recruiting diverse student body.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Physical Sciences, Life Sciences, Engineering, Research Methods",10-12,Paid,In-person,7 weeks,Medium,High,March,Medium,Available,Optional,Housing-included,$1000+,True,True,True,High,True,True,Medium,Regional,Low,True,Professional,rise_research.csv,Scrapers/scrapers/data,,,,,,,,,,,
CMU Robotics Academy - Robotics Engineering 2,"Advanced robotics engineering with kinematics, dynamics, path planning, and computer vision. Design complex autonomous systems. Prepares students for collegiate-level robotics.",https://www.roboticseducation.org/,Carnegie Mellon Robotics Academy,Curriculum,"Robotics, Advanced Engineering, Computer Vision, Kinematics",10-12,Free,Classroom,18-20 weeks,High,High,Rolling,High,Limited,Optional,Equipment,$1000+,True,True,True,High,True,False,Basic,International,Low,True,Teacher,cmu_robotics_academy.csv,Scrapers/scrapers/data,,,,,,,,,,,
Broadcom MASTERS Competition,Premier national STEM competition for middle school students grades 6-8. Top 30 finalists compete in Washington DC for scholarships and awards. Must qualify through affiliated science fair.,https://www.societyforscience.org/broadcom-masters/,Broadcom MASTERS,Competition,"Science, Technology, Engineering, Mathematics, All STEM",6-8,Free,Hybrid,6-12 months,High,High,Summer application,Medium,True,Optional,Research-Travel,Free-Entry,True,True,True,High,True,True,Basic,National,High,True,Professional,broadcom_masters.csv,Scrapers/data,,,,,,,,,,,
Broadcom MASTERS - Finals Competition,"Top 30 finalists travel to Washington DC for week-long STEM competition. Team and individual challenges testing critical thinking, collaboration, communication, and creativity. $25,000 top prize.",https://www.societyforscience.org/broadcom-masters/,Broadcom MASTERS,Competition,"STEM, Problem Solving, Critical Thinking",6-8,Free,In-person,1 week (October),High,High,October,,True,Not required,,Free,True,True,True,High,True,True,,National,Medium,True,Professional,broadcom_masters.csv,Scrapers/data,,,,,,,,,,,
Broadcom MASTERS - Samueli Foundation Prize,Special award for engineering projects in MASTERS competition. Recognizes outstanding middle school engineering research. Additional prize and recognition for finalists.,https://www.societyforscience.org/broadcom-masters/,Broadcom MASTERS,Competition,"Engineering, Design, Technology",6-8,Free,Hybrid,6-12 months,High,High,Summer application,Medium,True,Optional,Research-Travel,Free-Entry,True,True,True,High,True,True,Basic,National,High,True,Professional,broadcom_masters.csv,Scrapers/data,,,,,,,,,,,
Broadcom MASTERS - Application Process,"Online application for nominated students. Submit essays, video, and science fair project documentation. Selection based on research, communication skills, and STEM passion.",https://www.societyforscience.org/broadcom-masters/how-to-enter/,Broadcom MASTERS,Competition,"STEM, Communication, Research",6-8,Free,Online,2-4 weeks,High,High,Summer,Low,Not applicable,Not required,,Free,True,True,True,High,True,False,Required,National,High,False,Teacher,broadcom_masters.csv,Scrapers/data,,,,,,,,,,,
Garcia Research Scholars - Academic Year Extension,"Continuation of summer research during academic year for Garcia Scholars. Students continue working with faculty mentors part-time while attending high school. Develop research further, prepare for competitions, and work toward publications. Monthly seminars and research group meetings. Flexible scheduling around school commitments. Strengthen college applications with sustained research experience.",https://www.stonybrook.edu/commcms/garcia/,Garcia Research Scholars,Research,"Biology, Chemistry, Physics, Mathematics, Computer Science, Engineering",9-12,Free,In-person,Part-time academic year,Summer program completion,High,Automatic for summer participants,Low,Stipend-provided,Not required,Travel,Paid-Program,True,True,True,High,False,True,Basic,Regional,Medium,True,Professional,garcia_scholars.csv,Scrapers/scrapers/data,,,,,,,,,,,
Garcia Research Scholars - Biology and Life Sciences Track,"Research opportunities in molecular biology, genetics, neuroscience, ecology, or biomedical sciences. Work in university laboratories using advanced equipment and techniques. Learn experimental design, microscopy, data analysis, and scientific communication. Projects may include studying gene expression, animal behavior, cellular processes, or disease mechanisms. Mentored by biology faculty.",https://www.stonybrook.edu/commcms/garcia/,Garcia Research Scholars,Research,"Biology, Molecular Biology, Genetics, Neuroscience, Ecology",9-12,Free,In-person,7 weeks summer + academic year,High,High,January,Low,Stipend-provided,Not required,Travel,Paid-Program,True,True,True,High,False,True,Basic,Regional,Medium,True,Professional,garcia_scholars.csv,Scrapers/scrapers/data,,,,,,,,,,,
Garcia Research Scholars - Research Symposium and Competitions,"End-of-summer research symposium where Garcia Scholars present findings to faculty, peers, and families. Develop scientific posters and oral presentations. Support for entering research competitions including Intel ISEF, Regeneron STS, and regional science fairs. Guidance on abstracts, presentations, and competition applications.",https://www.stonybrook.edu/commcms/garcia/,Garcia Research Scholars,Research,"Scientific Communication, Research Presentation, Competition Preparation",9-12,Free,In-person,Program duration,Program participant,High,Summer culmination,,Not applicable,Not required,,Free,True,True,True,High,False,True,Basic,Regional,Medium,True,Professional,garcia_scholars.csv,Scrapers/scrapers/data,,,,,,,,,,,
Garcia Research Scholars - College Application Support,"Guidance leveraging Garcia research experience for college applications. Help framing research in personal statements, supplemental essays, and activity lists. Recommendation letters from faculty mentors. Support applying to selective universities and STEM programs. Resume building and interview preparation.",https://www.stonybrook.edu/commcms/garcia/,Garcia Research Scholars,Research,"College Preparation, Career Guidance, Academic Advising",11-12,Free,In-person,Academic year,Program participant,High,Rolling,,Not applicable,Not required,,Free,True,True,True,High,False,False,Required,Regional,Low,True,Professional,garcia_scholars.csv,Scrapers/scrapers/data,,,,,,,,,,,
Tynker Summer Coding Camp - Mobile Apps,"Design and develop mobile applications in this week-long intensive camp. Learn UI design, app logic, and deployment with experienced instructors.",https://www.tynker.com/summer-camps/,Tynker,Camp,"Mobile Development, Computer Science, App Design",6-12,Paid,Online,1 week,Low,High,Rolling,Medium,True,Not required,,$100-$500,False,True,True,Medium,True,False,Required,International,Low,True,Teacher,tynker.csv,Scrapers/data,,,,,,,,,,,
USABO School Registration,High schools register to participate in USABO competition. Registration includes access to all exam materials and resources. Schools coordinate local administration of Open Exam. Teacher training materials and guidelines provided. Registration fee covers exam materials for unlimited students.,https://www.usabo-trc.org/,USA Biology Olympiad,School Program,"Biology, Life Sciences",12-Sep,125,School-based,Coordination,,Medium,Annual-January,Low,False,False,Low,Paid,False,True,False,Medium,True,False,Basic,National,Optional,True,Adult,usabo_programs.csv,Data,,,,,,,,,,,
USABO Study Groups and Preparation Courses,"Student-organized and teacher-led study groups for USABO preparation. Regular meetings to review biology topics, practice problems, and mock exams. Peer learning and collaborative study. Many schools offer after-school preparation courses. Community of biology enthusiasts supporting each other.",https://www.usabo-trc.org/,USA Biology Olympiad,Study Program,"Biology, Life Sciences",12-Sep,Free,School-based,2-5 hours per week,Medium,Medium,Rolling,,False,False,Low,Free,False,True,False,Medium,True,False,,National,Optional,True,Adult,usabo_programs.csv,Data,,,,,,,,,,,
