file_source,name,description,reason_flagged,confidence_level,,Decision
acs_programs.csv,Adventures in Chemistry,"Chemistry exploration program for elementary students featuring experiments, games, and science activities. Introduces young students to chemistry concepts through hands-on activities. Available throu",Found: \bfor teachers,MEDIUM,,Remove
ams_student_programs.csv,AMS DataStreme Atmospheric Science Program,"Online professional development for educators teaching atmospheric science. While targeting teachers, enhances quality of meteorology education in classrooms. Provides current weather data, educationa",Found: \bfor educators,MEDIUM,,Remove
ashg_dna_day_programs.csv,ASHG DNA Day Student Activities,"Interactive genetics activities for DNA Day celebrations. Hands-on experiments, case studies, and problem-solving activities. Learn about DNA structure, inheritance, genetic disorders, and personalize",Found: \bfor teachers,MEDIUM,,Remove
ashg_dna_day_programs.csv,ASHG K-12 Genetics Education Resources Library,"Comprehensive online library of genetics teaching materials. Curated resources covering Mendelian genetics, molecular biology, genomics, and genetic medicine. Includes videos, simulations, readings, a",Found: \bfor educators,MEDIUM,,Remove
botball_programs.csv,Botball Educator Workshops,"Professional development for teachers and coaches starting Botball programs. Hands-on training with Botball kit and curriculum. Learn robot construction, programming, and game strategy. Receive curric",Found: \beducator workshop; Found: \bfor teachers,HIGH,,Remove
congress_app_challenge.csv,Congressional App Challenge Educator Support,Resources for teachers and advisors supporting student participants. Classroom integration guides and lesson plans. How to organize school app challenge programs. Mentorship resources and industry con,Found: \bfor teachers; Found: \bfor educators,HIGH,,Remove
ecybermission_programs.csv,eCYBERMISSION Team Advisor Resources,"Comprehensive resources for teachers and team advisors. Lesson plans, project guides, and judging rubrics. Training webinars and advisor community forums. Help with team formation and project developm",Found: \bfor teachers,MEDIUM,,Remove
envirothon_programs.csv,Envirothon Advisor Training,Professional development for teachers and team advisors. Workshops on environmental science topics and competition format. Field training sessions led by natural resource professionals. Curriculum int,Found: \bfor teachers,MEDIUM,,Remove
exploravision_programs.csv,ExploraVision Coach Training and Workshops,"Professional development for teachers and coaches guiding ExploraVision teams. Webinars and online resources explain competition format, judging criteria, project components, and coaching strategies. ",Found: \bfor teachers,MEDIUM,,Remove
future_city_competition.csv,Future City - Educator Curriculum and Resources,"Comprehensive curriculum materials and resources for teachers facilitating Future City teams. Includes lesson plans, engineering design activities, project management guides, rubrics, and timeline tem",Found: \bfor teachers,MEDIUM,,Remove
google_cs_edu_programs.csv,Google Educator Training: CS,"Professional development for teachers to integrate computer science into their classrooms. Free online courses covering CS pedagogy, curriculum implementation, and classroom management. Earn badges an",Found: \beducator training; Found: \bfor teachers,HIGH,,Remove
jason_learning_programs.csv,JASON Teacher Training and Professional Development,"Professional development for educators implementing JASON curriculum. While targeting teachers, enhances quality of STEM instruction benefiting students. Training covers inquiry-based learning, digita",Found: \bfor educators,MEDIUM,,Remove
lockheed_martin_programs.csv,Lockheed Martin STEM Teacher Professional Development,"Professional development program for educators teaching STEM subjects. Teachers learn about aerospace engineering, defense technology, and industry careers. Includes curriculum materials, hands-on act",Found: \bteacher professional development; Found: \bfor educators,HIGH,,Remove
microsoft_teals_programs.csv,TEALS Teacher Professional Development,Professional development program for teachers building computer science teaching capacity. Industry volunteers co-teach to transfer CS knowledge to teachers. Goal is sustainable CS programs after TEAL,Found: \bteacher professional development; Found: \bfor teachers,HIGH,,Remove
nosb_programs.csv,NOSB Coach Training and Support Resources,"Professional development and support for teachers and coaches leading NOSB teams. Includes webinars, coaching guides, question banks, competition strategies, and access to ocean science experts. Resou",Found: \bfor teachers,MEDIUM,,Remove
picoctf_programs.csv,picoCTF for Classrooms (Educator Resources),"Free platform for teachers to integrate picoCTF into curriculum. Educators can create custom competitions, assign specific challenges, track student progress, and access teaching materials. Includes l",Found: \bfor teachers,MEDIUM,,Remove
scratch_programming.csv,Scratch for Educators,"Complete educator resources for teaching with Scratch. Curriculum guides, lesson plans, and classroom activities. Step-by-step tutorials for teachers new to coding. Classroom management tools and stud",Found: \bfor teachers; Found: \bfor educators,HIGH,,Remove
seaperch_programs.csv,SeaPerch Teacher Professional Development,Free training workshops for educators teaching SeaPerch. Learn to build ROVs and implement curriculum. Receive teaching materials and support resources. Hands-on training in robotics and marine scienc,Found: \bteacher professional development; Found: \bfor educators,HIGH,,Remove
simons_foundation_programs.csv,Math for America (MfA) Fellowship Program,"Multi-year fellowship program supporting exceptional mathematics and science teachers in public schools. While primarily for teachers, MfA partners with schools that create strong STEM learning enviro",Found: \bfor teachers,MEDIUM,,Remove
codecombat.csv,CodeCombat Classroom Edition,"Teacher-facilitated coding curriculum with classroom management tools. Includes progress tracking, lesson plans, and assessment features for educators teaching programming.",Found: \bfor educators,MEDIUM,,Remove
cyberstart_america.csv,CyberStart America - Teacher Support Program,"Resources for educators to integrate cybersecurity into curriculum. Professional development, lesson plans, and classroom management tools. Free teacher training.",Found: \bfor educators,MEDIUM,,Remove
discovere_programs.csv,Future City Teacher Workshop,"Professional development workshop for teachers leading Future City teams. Training on competition requirements, engineering mentorship, and classroom integration.",Found: \bteacher workshop; Found: \bfor teachers,HIGH,,Remove
sphero_education.csv,Sphero Teacher Training and Certification,"Free professional development for educators. Learn to integrate Sphero robots into curriculum. Best practices, classroom management, and lesson planning.",Found: \bfor educators,MEDIUM,,Remove
stem_video_game_challenge.csv,STEM Challenge Educator Workshop,Professional development for teachers incorporating game design into STEM curriculum. Learn how to guide students through the competition and integrate game-based learning.,Found: \beducator workshop; Found: \bfor teachers,HIGH,,Remove
tynker.csv,Tynker Coding for Educators,"Comprehensive classroom curriculum and resources for teachers. Includes lesson plans, assessment tools, and student progress tracking for K-12 coding education.",Found: \bfor teachers; Found: \bfor educators,HIGH,,Remove
boeing_student_programs.csv,Boeing Teacher Professional Development,Professional development program for educators to learn aerospace concepts and teaching methods. Teachers receive Boeing curriculum materials and ongoing support to implement STEM programs.,Found: \bteacher professional development; Found: \bfor educators,HIGH,,Remove
cmu_robotics_academy.csv,CMU Robotics Academy - Teacher Professional Development,"Free professional development for educators teaching robotics and computer science. Online and in-person training, curriculum implementation support, and ongoing educator community.",Found: \bteacher professional development; Found: \bfor educators,HIGH,,Remove
coding_rooms.csv,Coding Rooms - Teacher Dashboard and Classroom Management,"Comprehensive teacher tools for managing coding classrooms. Real-time student monitoring, automated grading, assignment creation, progress tracking, and classroom analytics. Free for educators.",Found: \bfor educators,MEDIUM,,Remove
girls_who_code_programs.csv,Girls Who Code Facilitator Program,"Training and support program for educators and volunteers to lead Girls Who Code clubs and activities, including curriculum resources and professional development.",Found: \bfor educators,MEDIUM,,Remove
hopscotch_coding.csv,Hopscotch - Educator Dashboard,"Free classroom management tools for teachers. Create class codes, monitor student progress, view projects, and access curriculum-aligned lesson plans. Support K-8 computer science education.",Found: \bfor teachers,MEDIUM,,Remove
intel_science_fair_programs.csv,Science Fair Research Mentor Training,Professional development program for teachers and mentors to effectively guide students through independent research projects and science fair competition preparation.,Found: \bfor teachers,MEDIUM,,Remove
mathcounts_programs.csv,MATHCOUNTS Trainer Program,Professional development program for educators to become certified MATHCOUNTS trainers. Learn coaching strategies and competition preparation techniques.,Found: \bfor educators,MEDIUM,,Remove
mit_app_inventor_programs.csv,MIT App Inventor Master Trainer Course,Comprehensive professional development course for educators to learn App Inventor and integrate mobile app development into their curriculum. Includes pedagogy and assessment strategies.,Found: \bfor educators,MEDIUM,,Remove
noaa_education_programs.csv,NOAA Teacher at Sea Program,"Professional development program for educators to join NOAA research expeditions, gaining hands-on experience in ocean and atmospheric science research.",Found: \bfor educators,MEDIUM,,Remove
osmo_learning.csv,Osmo - Classroom Educator Resources,"Free teaching resources including lesson plans, curriculum guides, and classroom management tools. Standards-aligned activities for integrating Osmo into K-6 classrooms. Professional development mater",Found: \bfor educators,MEDIUM,,Remove
roblox_education.csv,Roblox Education - Educator Resources and Lesson Plans,"Free curriculum resources for teachers using Roblox Studio in classroom. Standards-aligned lesson plans, student worksheets, assessment rubrics, and classroom management guides. Support K-12 computer ",Found: \bfor teachers,MEDIUM,,Remove
samsung_solve_for_tomorrow.csv,Samsung Solve for Tomorrow - Teacher Professional Development,"Free professional development resources for teachers facilitating competition teams. Curriculum guides, lesson plans, and STEM teaching strategies. Webinars on project-based learning, design thinking,",Found: \bteacher professional development; Found: \bfor teachers,HIGH,,Remove
tinkercad.csv,Tinkercad Educator Resources,"Free lesson plans, classroom activities, and teacher guides for K-12. Standards-aligned curriculum integration resources. Professional development for educators.",Found: \bfor educators,MEDIUM,,Remove
wonder_workshop.csv,Wonder Workshop - Professional Development,"Free online training for educators using Wonder robots. Webinars, video tutorials, and best practices for classroom implementation. Earn PD certificates.",Found: \bfor educators,MEDIUM,,Remove
